#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
128	1.280000e-02	-5.900000e-05	-1.101769e+05	1.101769e+05	3.246627e+00	3.246649e+00	1.965329e-05
129	1.290000e-02	-5.950000e-05	-1.110911e+05	1.110911e+05	3.301842e+00	3.301864e+00	1.965687e-05
130	1.300000e-02	-6.000000e-05	-1.120041e+05	1.120041e+05	3.357515e+00	3.357537e+00	1.965666e-05
131	1.310000e-02	-6.050000e-05	-1.129163e+05	1.129163e+05	3.413643e+00	3.413665e+00	1.966016e-05
132	1.320000e-02	-6.100000e-05	-1.138275e+05	1.138275e+05	3.470228e+00	3.470250e+00	1.966613e-05
133	1.330000e-02	-6.150000e-05	-1.147377e+05	1.147377e+05	3.527268e+00	3.527290e+00	1.966434e-05
134	1.340000e-02	-6.200000e-05	-1.156470e+05	1.156469e+05	3.584763e+00	3.584785e+00	1.967354e-05
135	1.350000e-02	-6.250000e-05	-1.165552e+05	1.165553e+05	3.642712e+00	3.642735e+00	1.966937e-05
136	1.360000e-02	-6.300000e-05	-1.174627e+05	1.174626e+05	3.701116e+00	3.701139e+00	1.967057e-05
137	1.370000e-02	-6.350000e-05	-1.183686e+05	1.183686e+05	3.759973e+00	3.759996e+00	1.968333e-05
138	1.380000e-02	-6.400000e-05	-1.192741e+05	1.192741e+05	3.819283e+00	3.819306e+00	1.966934e-05
139	1.390000e-02	-6.450000e-05	-1.201784e+05	1.201782e+05	3.879045e+00	3.879069e+00	1.968842e-05
140	1.400000e-02	-6.500000e-05	-1.210815e+05	1.210818e+05	3.939260e+00	3.939283e+00	1.967598e-05
141	1.410000e-02	-6.550000e-05	-1.219841e+05	1.219839e+05	3.999926e+00	3.999949e+00	1.968145e-05
142	1.420000e-02	-6.600000e-05	-1.228851e+05	1.228851e+05	4.061043e+00	4.061067e+00	1.969498e-05
143	1.430000e-02	-6.650000e-05	-1.237853e+05	1.237854e+05	4.122610e+00	4.122634e+00	1.967723e-05
144	1.440000e-02	-6.700000e-05	-1.246845e+05	1.246842e+05	4.184628e+00	4.184652e+00	1.969840e-05
145	1.450000e-02	-6.750000e-05	-1.255822e+05	1.255825e+05	4.247094e+00	4.247119e+00	1.969012e-05
146	1.460000e-02	-6.800000e-05	-1.264796e+05	1.264793e+05	4.310010e+00	4.310034e+00	1.969269e-05
147	1.470000e-02	-6.850000e-05	-1.273753e+05	1.273754e+05	4.373374e+00	4.373398e+00	1.970599e-05
148	1.480000e-02	-6.900000e-05	-1.282703e+05	1.282703e+05	4.437186e+00	4.437210e+00	1.969364e-05
149	1.490000e-02	-6.950000e-05	-1.291641e+05	1.291640e+05	4.501445e+00	4.501470e+00	1.971047e-05
150	1.500000e-02	-7.000000e-05	-1.300567e+05	1.300569e+05	4.566151e+00	4.566176e+00	1.970692e-05
151	1.510000e-02	-7.050000e-05	-1.309483e+05	1.309481e+05	4.631303e+00	4.631328e+00	1.971279e-05
152	1.520000e-02	-7.100000e-05	-1.318385e+05	1.318386e+05	4.696900e+00	4.696926e+00	1.971878e-05
153	1.530000e-02	-7.150000e-05	-1.327274e+05	1.327273e+05	4.762942e+00	4.762968e+00	1.972095e-05
154	1.540000e-02	-7.200000e-05	-1.336153e+05	1.336153e+05	4.829429e+00	4.829455e+00	1.972558e-05
155	1.550000e-02	-7.250000e-05	-1.345015e+05	1.345015e+05	4.896360e+00	4.896386e+00	1.973701e-05
156	1.560000e-02	-7.300000e-05	-1.353871e+05	1.353872e+05	4.963733e+00	4.963760e+00	1.973168e-05
157	1.570000e-02	-7.350000e-05	-1.362714e+05	1.362714e+05	5.031549e+00	5.031576e+00	1.973944e-05
158	1.580000e-02	-7.400000e-05	-1.371547e+05	1.371546e+05	5.099808e+00	5.099835e+00	1.974014e-05
159	1.590000e-02	-7.450000e-05	-1.380368e+05	1.380369e+05	5.168507e+00	5.168535e+00	1.974743e-05
160	1.600000e-02	-7.500000e-05	-1.389178e+05	1.389178e+05	5.237648e+00	5.237675e+00	1.974219e-05
161	1.610000e-02	-7.550000e-05	-1.397980e+05	1.397980e+05	5.307229e+00	5.307256e+00	1.975498e-05
162	1.620000e-02	-7.600000e-05	-1.406767e+05	1.406767e+05	5.377250e+00	5.377277e+00	1.975535e-05
163	1.630000e-02	-7.650000e-05	-1.415547e+05	1.415547e+05	5.447710e+00	5.447738e+00	1.975860e-05
164	1.640000e-02	-7.700000e-05	-1.424313e+05	1.424313e+05	5.518608e+00	5.518637e+00	1.976848e-05
165	1.650000e-02	-7.750000e-05	-1.433070e+05	1.433070e+05	5.589945e+00	5.589974e+00	1.976087e-05
166	1.660000e-02	-7.800000e-05	-1.441814e+05	1.441814e+05	5.661720e+00	5.661749e+00	1.977625e-05
167	1.670000e-02	-7.850000e-05	-1.450544e+05	1.450545e+05	5.733931e+00	5.733961e+00	1.976891e-05
168	1.680000e-02	-7.900000e-05	-1.459265e+05	1.459264e+05	5.806579e+00	5.806609e+00	1.978366e-05
169	1.690000e-02	-7.950000e-05	-1.467972e+05	1.467973e+05	5.879663e+00	5.879694e+00	1.978581e-05
170	1.700000e-02	-8.000000e-05	-1.476672e+05	1.476672e+05	5.953182e+00	5.953213e+00	1.977804e-05
171	1.710000e-02	-8.050000e-05	-1.485360e+05	1.485359e+05	6.027136e+00	6.027167e+00	1.979389e-05
172	1.720000e-02	-8.100000e-05	-1.494038e+05	1.494039e+05	6.101524e+00	6.101556e+00	1.978330e-05
173	1.730000e-02	-8.150000e-05	-1.502699e+05	1.502697e+05	6.176346e+00	6.176378e+00	1.979681e-05
174	1.740000e-02	-8.200000e-05	-1.511356e+05	1.511357e+05	6.251601e+00	6.251633e+00	1.979925e-05
175	1.750000e-02	-8.250000e-05	-1.519995e+05	1.519995e+05	6.327288e+00	6.327321e+00	1.979982e-05
176	1.760000e-02	-8.300000e-05	-1.528627e+05	1.528625e+05	6.403408e+00	6.403441e+00	1.980550e-05
177	1.770000e-02	-8.350000e-05	-1.537244e+05	1.537247e+05	6.479958e+00	6.479992e+00	1.981086e-05
178	1.780000e-02	-8.400000e-05	-1.545853e+05	1.545851e+05	6.556940e+00	6.556973e+00	1.980439e-05
179	1.790000e-02	-8.450000e-05	-1.554452e+05	1.554453e+05	6.634351e+00	6.634385e+00	1.982573e-05
180	1.800000e-02	-8.500000e-05	-1.563037e+05	1.563039e+05	6.712193e+00	6.712227e+00	1.980350e-05
181	1.810000e-02	-8.550000e-05	-1.571617e+05	1.571614e+05	6.790463e+00	6.790498e+00	1.981981e-05
182	1.820000e-02	-8.600000e-05	-1.580178e+05	1.580181e+05	6.869163e+00	6.869198e+00	1.982812e-05
183	1.830000e-02	-8.650000e-05	-1.588735e+05	1.588734e+05	6.948290e+00	6.948326e+00	1.981307e-05
184	1.840000e-02	-8.700000e-05	-1.597278e+05	1.597277e+05	7.027845e+00	7.027881e+00	1.984346e-05
185	1.850000e-02	-8.750000e-05	-1.605810e+05	1.605812e+05	7.107827e+00	7.107864e+00	1.982457e-05
186	1.860000e-02	-8.800000e-05	-1.614336e+05	1.614334e+05	7.188235e+00	7.188272e+00	1.982847e-05
187	1.870000e-02	-8.850000e-05	-1.622849e+05	1.622851e+05	7.269070e+00	7.269108e+00	1.984058e-05
188	1.880000e-02	-8.900000e-05	-1.631352e+05	1.631352e+05	7.350330e+00	7.350368e+00	1.982189e-05
189	1.890000e-02	-8.950000e-05	-1.639849e+05	1.639848e+05	7.432015e+00	7.432054e+00	1.984402e-05
190	1.900000e-02	-9.000000e-05	-1.648331e+05	1.648333e+05	7.514124e+00	7.514164e+00	1.984146e-05
191	1.910000e-02	-9.050000e-05	-1.656808e+05	1.656807e+05	7.596658e+00	7.596698e+00	1.983925e-05
192	1.920000e-02	-9.100000e-05	-1.665272e+05	1.665273e+05	7.679615e+00	7.679656e+00	1.985682e-05
193	1.930000e-02	-9.150000e-05	-1.673727e+05	1.673727e+05	7.762996e+00	7.763037e+00	1.984615e-05
194	1.940000e-02	-9.200000e-05	-1.682173e+05	1.682173e+05	7.846799e+00	7.846841e+00	1.985258e-05
195	1.950000e-02	-9.250000e-05	-1.690598e+05	1.690598e+05	7.931024e+00	7.931067e+00	1.986892e-05
