#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time[s]
171	3.420000e-03	1.000000e+00	0.000000e+00	1.025365e-15	2.406481e-09	1.000000e+00	1.128347e+02
172	3.440000e-03	1.000000e+00	0.000000e+00	1.087510e-15	2.666632e-09	1.000000e+00	1.134603e+02
173	3.460000e-03	1.000000e+00	0.000000e+00	1.081594e-15	1.743276e-09	1.000000e+00	1.140877e+02
174	3.480000e-03	1.000000e+00	0.000000e+00	1.109708e-15	1.780998e-09	1.000000e+00	1.147165e+02
175	3.500000e-03	1.000000e+00	0.000000e+00	1.121620e-15	1.806246e-09	1.000000e+00	1.153453e+02
176	3.520000e-03	1.000000e+00	0.000000e+00	1.083563e-15	2.358941e-09	1.000000e+00	1.159747e+02
177	3.540000e-03	1.000000e+00	0.000000e+00	1.069366e-15	3.028782e-09	1.000000e+00	1.166059e+02
178	3.560000e-03	1.000000e+00	0.000000e+00	1.056985e-15	2.586051e-10	1.000000e+00	1.172368e+02
179	3.580000e-03	1.000000e+00	0.000000e+00	1.089757e-15	2.887985e-09	1.000000e+00	1.178666e+02
180	3.600000e-03	1.000000e+00	0.000000e+00	1.058901e-15	2.108023e-09	1.000000e+00	1.184946e+02
181	3.620000e-03	1.000000e+00	0.000000e+00	1.087371e-15	2.656584e-09	1.000000e+00	1.191233e+02
182	3.640000e-03	1.000000e+00	0.000000e+00	1.035648e-15	2.032872e-09	1.000000e+00	1.197525e+02
183	3.660000e-03	1.000000e+00	0.000000e+00	1.033402e-15	9.622425e-10	1.000000e+00	1.203822e+02
184	3.680000e-03	1.000000e+00	0.000000e+00	1.077702e-15	1.689674e-09	1.000000e+00	1.210115e+02
185	3.700000e-03	1.000000e+00	0.000000e+00	1.113344e-15	9.835046e-10	1.000000e+00	1.216421e+02
186	3.720000e-03	1.000000e+00	0.000000e+00	1.039879e-15	8.821819e-10	1.000000e+00	1.222737e+02
187	3.740000e-03	1.000000e+00	0.000000e+00	1.092352e-15	1.264272e-09	1.000000e+00	1.229046e+02
188	3.760000e-03	1.000000e+00	0.000000e+00	1.034021e-15	4.795618e-10	1.000000e+00	1.235349e+02
189	3.780000e-03	1.000000e+00	0.000000e+00	1.045587e-15	6.188496e-10	1.000000e+00	1.241661e+02
190	3.800000e-03	1.000000e+00	0.000000e+00	1.057847e-15	2.302439e-10	1.000000e+00	1.247991e+02
191	3.820000e-03	1.000000e+00	0.000000e+00	1.066651e-15	2.683575e-09	1.000000e+00	1.254331e+02
192	3.840000e-03	1.000000e+00	0.000000e+00	1.031585e-15	2.640073e-09	1.000000e+00	1.260639e+02
193	3.860000e-03	1.000000e+00	0.000000e+00	1.000290e-15	1.720038e-09	1.000000e+00	1.266955e+02
194	3.880000e-03	1.000000e+00	0.000000e+00	1.030246e-15	8.495978e-10	1.000000e+00	1.273286e+02
195	3.900000e-03	1.000000e+00	0.000000e+00	1.059100e-15	1.622417e-09	1.000000e+00	1.279611e+02
196	3.920000e-03	1.000000e+00	0.000000e+00	1.031728e-15	1.874826e-10	1.000000e+00	1.285917e+02
197	3.940000e-03	1.000000e+00	0.000000e+00	1.057143e-15	1.117327e-09	1.000000e+00	1.292232e+02
198	3.960000e-03	1.000000e+00	0.000000e+00	1.031017e-15	1.107568e-09	1.000000e+00	1.298561e+02
199	3.980000e-03	1.000000e+00	0.000000e+00	1.056057e-15	6.193486e-10	1.000000e+00	1.304901e+02
200	4.000000e-03	1.000000e+00	0.000000e+00	1.072955e-15	1.118968e-09	1.000000e+00	1.311234e+02
201	4.020000e-03	1.000000e+00	0.000000e+00	1.009371e-15	1.426282e-09	1.000000e+00	1.317556e+02
202	4.040000e-03	1.000000e+00	0.000000e+00	1.037570e-15	8.654776e-10	1.000000e+00	1.323882e+02
203	4.060000e-03	1.000000e+00	0.000000e+00	1.025711e-15	6.602943e-10	1.000000e+00	1.330206e+02
204	4.080000e-03	1.000000e+00	0.000000e+00	1.000678e-15	1.836314e-09	1.000000e+00	1.336522e+02
205	4.100000e-03	1.000000e+00	0.000000e+00	1.032128e-15	1.536449e-09	1.000000e+00	1.342841e+02
206	4.120000e-03	1.000000e+00	0.000000e+00	1.031883e-15	4.141724e-10	1.000000e+00	1.349181e+02
207	4.140000e-03	1.000000e+00	0.000000e+00	1.044851e-15	9.354699e-10	1.000000e+00	1.355523e+02
208	4.160000e-03	1.000000e+00	0.000000e+00	1.007091e-15	7.689996e-10	1.000000e+00	1.361853e+02
209	4.180000e-03	1.000000e+00	0.000000e+00	1.017776e-15	2.525518e-09	1.000000e+00	1.368172e+02
210	4.200000e-03	1.000000e+00	0.000000e+00	1.024237e-15	3.962711e-09	1.000000e+00	1.374515e+02
211	4.220000e-03	1.000000e+00	0.000000e+00	1.059166e-15	4.154945e-09	1.000000e+00	1.380872e+02
212	4.240000e-03	1.000000e+00	0.000000e+00	1.044868e-15	4.170819e-09	1.000000e+00	1.387199e+02
213	4.260000e-03	1.000000e+00	0.000000e+00	1.052167e-15	3.855161e-09	1.000000e+00	1.393527e+02
214	4.280000e-03	1.000000e+00	0.000000e+00	1.071834e-15	3.771900e-09	1.000000e+00	1.399861e+02
215	4.300000e-03	1.000000e+00	0.000000e+00	1.053819e-15	4.761217e-09	1.000000e+00	1.406202e+02
216	4.320000e-03	1.000000e+00	0.000000e+00	1.047507e-15	3.595968e-09	1.000000e+00	1.412537e+02
217	4.340000e-03	1.000000e+00	0.000000e+00	1.041330e-15	4.297208e-09	1.000000e+00	1.418871e+02
218	4.360000e-03	1.000000e+00	0.000000e+00	1.030193e-15	4.187525e-09	1.000000e+00	1.425219e+02
219	4.380000e-03	1.000000e+00	0.000000e+00	1.065630e-15	4.285754e-09	1.000000e+00	1.431586e+02
220	4.400000e-03	1.000000e+00	0.000000e+00	1.063420e-15	4.115263e-09	1.000000e+00	1.437915e+02
221	4.420000e-03	1.000000e+00	0.000000e+00	1.021424e-15	3.876693e-09	1.000000e+00	1.444237e+02
222	4.440000e-03	1.000000e+00	0.000000e+00	1.029606e-15	3.725492e-09	1.000000e+00	1.450585e+02
223	4.460000e-03	1.000000e+00	0.000000e+00	1.031626e-15	3.387248e-09	1.000000e+00	1.456952e+02
224	4.480000e-03	1.000000e+00	0.000000e+00	1.047603e-15	4.436124e-09	1.000000e+00	1.463294e+02
225	4.500000e-03	1.000000e+00	0.000000e+00	1.065663e-15	3.688582e-09	1.000000e+00	1.469625e+02
226	4.520000e-03	1.000000e+00	0.000000e+00	1.070765e-15	3.399459e-09	1.000000e+00	1.475971e+02
227	4.540000e-03	1.000000e+00	0.000000e+00	1.080032e-15	3.810295e-09	1.000000e+00	1.482360e+02
228	4.560000e-03	1.000000e+00	0.000000e+00	1.051958e-15	3.162832e-09	1.000000e+00	1.488716e+02
