#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time[s]
154	6.160000e-03	1.000000e+00	0.000000e+00	1.043629e-15	2.588880e-09	1.000000e+00	9.531791e+01
155	6.200000e-03	1.000000e+00	0.000000e+00	1.027485e-15	1.679729e-09	1.000000e+00	9.595724e+01
156	6.240000e-03	1.000000e+00	0.000000e+00	1.075569e-15	1.527077e-09	1.000000e+00	9.658591e+01
157	6.280000e-03	1.000000e+00	0.000000e+00	1.026417e-15	1.799043e-09	1.000000e+00	9.721365e+01
158	6.320000e-03	1.000000e+00	0.000000e+00	1.108808e-15	1.154860e-09	1.000000e+00	9.784167e+01
159	6.360000e-03	1.000000e+00	0.000000e+00	1.060189e-15	1.553903e-09	1.000000e+00	9.847005e+01
160	6.400000e-03	1.000000e+00	0.000000e+00	1.045015e-15	2.449533e-09	1.000000e+00	9.909656e+01
161	6.440000e-03	1.000000e+00	0.000000e+00	1.012001e-15	1.133377e-09	1.000000e+00	9.972342e+01
162	6.480000e-03	1.000000e+00	0.000000e+00	1.042771e-15	2.578425e-09	1.000000e+00	1.003532e+02
163	6.520000e-03	1.000000e+00	0.000000e+00	1.051199e-15	2.090718e-09	1.000000e+00	1.009833e+02
164	6.560000e-03	1.000000e+00	0.000000e+00	1.022164e-15	2.609416e-09	1.000000e+00	1.016118e+02
165	6.600000e-03	1.000000e+00	0.000000e+00	1.021815e-15	1.196698e-09	1.000000e+00	1.022392e+02
166	6.640000e-03	1.000000e+00	0.000000e+00	1.049617e-15	7.403965e-10	1.000000e+00	1.028710e+02
167	6.680000e-03	1.000000e+00	0.000000e+00	1.055869e-15	1.452970e-10	1.000000e+00	1.035031e+02
168	6.720000e-03	1.000000e+00	0.000000e+00	1.037842e-15	1.784746e-09	1.000000e+00	1.041320e+02
169	6.760000e-03	1.000000e+00	0.000000e+00	9.752504e-16	6.089125e-10	1.000000e+00	1.047594e+02
170	6.800000e-03	1.000000e+00	0.000000e+00	9.737396e-16	9.355960e-10	1.000000e+00	1.053897e+02
171	6.840000e-03	1.000000e+00	0.000000e+00	1.004332e-07	5.287962e-06	1.000000e+00	1.060188e+02
172	6.880000e-03	1.000000e+00	0.000000e+00	1.347369e-07	6.135247e-06	1.000000e+00	1.066433e+02
173	6.920000e-03	1.000000e+00	0.000000e+00	2.052001e-07	7.623341e-06	1.000000e+00	1.072694e+02
174	6.960000e-03	1.000000e+00	0.000000e+00	2.016658e-07	7.491895e-06	1.000000e+00	1.079025e+02
175	7.000000e-03	1.000000e+00	0.000000e+00	1.967416e-07	7.309047e-06	1.000000e+00	1.085490e+02
176	7.040000e-03	1.000000e+00	0.000000e+00	1.996929e-07	7.419105e-06	1.000000e+00	1.091856e+02
177	7.080000e-03	1.000000e+00	0.000000e+00	1.995936e-07	7.415719e-06	1.000000e+00	1.098220e+02
178	7.120000e-03	1.000000e+00	0.000000e+00	6.874905e-07	1.734373e-05	1.000000e+00	1.104662e+02
179	7.160000e-03	1.000000e+00	0.000000e+00	9.557501e-07	2.138633e-05	1.000000e+00	1.111156e+02
180	7.200000e-03	1.000000e+00	0.000000e+00	1.165198e-06	2.390085e-05	1.000000e+00	1.117559e+02
181	7.240000e-03	1.000000e+00	0.000000e+00	1.174684e-06	2.406884e-05	1.000000e+00	1.124027e+02
182	7.280000e-03	1.000000e+00	0.000000e+00	1.380886e-06	2.530119e-05	1.000000e+00	1.130534e+02
183	7.320000e-03	1.000000e+00	0.000000e+00	1.612063e-06	2.844059e-05	1.000000e+00	1.137054e+02
184	7.360000e-03	1.000000e+00	0.000000e+00	2.263606e-06	3.545921e-05	1.000000e+00	1.143591e+02
185	7.400000e-03	1.000000e+00	0.000000e+00	2.354256e-06	3.653455e-05	1.000000e+00	1.150190e+02
186	7.440000e-03	1.000000e+00	0.000000e+00	2.330306e-06	3.622620e-05	1.000000e+00	1.156837e+02
187	7.480000e-03	1.000000e+00	0.000000e+00	2.940836e-06	4.191769e-05	1.000000e+00	1.163391e+02
188	7.520000e-03	1.000000e+00	0.000000e+00	3.773583e-06	5.015412e-05	1.000000e+00	1.169964e+02
189	7.560000e-03	1.000000e+00	0.000000e+00	4.167611e-06	5.382740e-05	1.000000e+00	1.176631e+02
190	7.600000e-03	1.000000e+00	0.000000e+00	4.609319e-06	5.778785e-05	1.000000e+00	1.183413e+02
191	7.640000e-03	1.000000e+00	0.000000e+00	4.841442e-06	6.053180e-05	1.000000e+00	1.190146e+02
192	7.680000e-03	1.000000e+00	0.000000e+00	4.798238e-06	6.015624e-05	1.000000e+00	1.196904e+02
193	7.720000e-03	1.000000e+00	0.000000e+00	4.866530e-06	6.072955e-05	1.000000e+00	1.203630e+02
194	7.760000e-03	1.000000e+00	0.000000e+00	5.083378e-06	6.249778e-05	1.000000e+00	1.210421e+02
195	7.800000e-03	1.000000e+00	0.000000e+00	5.311964e-06	6.483392e-05	1.000000e+00	1.217186e+02
196	7.840000e-03	1.000000e+00	0.000000e+00	5.458068e-06	6.637349e-05	1.000000e+00	1.223930e+02
197	7.880000e-03	1.000000e+00	0.000000e+00	5.471256e-06	6.763086e-05	1.000000e+00	1.230574e+02
198	7.920000e-03	1.000000e+00	0.000000e+00	5.644016e-06	7.111682e-05	1.000000e+00	1.237351e+02
199	7.960000e-03	1.000000e+00	0.000000e+00	6.195532e-06	7.512527e-05	1.000000e+00	1.244055e+02
