#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
140	5.600000e-03	-2.300000e-05	-4.357919e+04	4.356389e+04	5.010833e-01	5.011060e-01	1.971472e-05
141	5.640000e-03	-2.320000e-05	-4.395020e+04	4.395359e+04	5.098357e-01	5.098590e-01	2.025486e-05
142	5.680000e-03	-2.340000e-05	-4.432326e+04	4.433760e+04	5.186639e-01	5.186863e-01	1.945052e-05
143	5.720000e-03	-2.360000e-05	-4.471350e+04	4.470337e+04	5.275678e-01	5.275900e-01	1.921482e-05
144	5.760000e-03	-2.380000e-05	-4.509331e+04	4.508408e+04	5.365475e-01	5.365707e-01	2.014779e-05
145	5.800000e-03	-2.400000e-05	-4.546003e+04	4.547352e+04	5.456030e-01	5.456260e-01	1.997493e-05
146	5.840000e-03	-2.420000e-05	-4.584369e+04	4.584700e+04	5.547343e-01	5.547564e-01	1.911493e-05
147	5.880000e-03	-2.440000e-05	-4.623249e+04	4.621835e+04	5.639413e-01	5.639640e-01	1.966702e-05
148	5.920000e-03	-2.460000e-05	-4.660210e+04	4.660418e+04	5.732242e-01	5.732475e-01	2.027263e-05
149	5.960000e-03	-2.480000e-05	-4.697567e+04	4.698898e+04	5.825828e-01	5.826052e-01	1.945949e-05
150	6.000000e-03	-2.500000e-05	-4.736581e+04	4.735829e+04	5.920172e-01	5.920394e-01	1.924469e-05
151	6.040000e-03	-2.520000e-05	-4.774461e+04	4.773444e+04	6.015273e-01	6.015504e-01	2.009017e-05
152	6.080000e-03	-2.540000e-05	-4.811357e+04	4.812533e+04	6.111133e-01	6.111362e-01	1.996146e-05
153	6.120000e-03	-2.560000e-05	-4.849589e+04	4.850096e+04	6.207750e-01	6.207972e-01	1.921707e-05
154	6.160000e-03	-2.580000e-05	-4.888296e+04	4.886928e+04	6.305125e-01	6.305351e-01	1.959378e-05
155	6.200000e-03	-2.600000e-05	-4.925618e+04	4.925693e+04	6.403258e-01	6.403490e-01	2.021425e-05
156	6.240000e-03	-2.620000e-05	-4.962801e+04	4.964109e+04	6.502148e-01	6.502374e-01	1.958221e-05
157	6.280000e-03	-2.640000e-05	-5.001620e+04	5.001002e+04	6.601796e-01	6.602018e-01	1.920009e-05
158	6.320000e-03	-2.660000e-05	-5.039843e+04	5.038828e+04	6.702203e-01	6.702433e-01	2.002498e-05
159	6.360000e-03	-2.680000e-05	-5.076569e+04	5.077574e+04	6.803367e-01	6.803597e-01	2.003206e-05
160	6.400000e-03	-2.700000e-05	-5.114740e+04	5.115333e+04	6.905288e-01	6.905510e-01	1.921115e-05
161	6.440000e-03	-2.720000e-05	-5.153583e+04	5.152360e+04	7.007968e-01	7.008193e-01	1.957939e-05
162	6.480000e-03	-2.740000e-05	-5.190777e+04	5.190672e+04	7.111405e-01	7.111637e-01	2.019196e-05
163	6.520000e-03	-2.760000e-05	-5.228118e+04	5.229391e+04	7.215600e-01	7.215826e-01	1.959614e-05
164	6.560000e-03	-2.780000e-05	-5.266804e+04	5.266364e+04	7.320553e-01	7.320775e-01	1.925885e-05
165	6.600000e-03	-2.800000e-05	-5.304954e+04	5.303884e+04	7.426263e-01	7.426493e-01	1.993663e-05
166	6.640000e-03	-2.820000e-05	-5.341991e+04	5.342882e+04	7.532732e-01	7.532962e-01	2.003452e-05
167	6.680000e-03	-2.840000e-05	-5.379877e+04	5.380532e+04	7.639958e-01	7.640181e-01	1.931032e-05
168	6.720000e-03	-2.860000e-05	-5.418695e+04	5.417576e+04	7.747942e-01	7.748167e-01	1.949269e-05
169	6.760000e-03	-2.880000e-05	-5.456179e+04	5.455983e+04	7.856683e-01	7.856915e-01	2.017158e-05
