// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Tetrahedra Data File
// ================================================================================
//
// Data Structure:
// Node 1 Node 2 Node 3 Node 4
// Note: Node numbers are zero-indexed
//
// ================================================================================
1417 1914 1651 1405
1005 1046 2211 1704
513 636 512 1853
641 1472 2151 1731
1144 2257 1283 1065
1415 1300 1139 1410
1555 1561 2188 1375
892 59 60 61
1383 81 1718 1482
173 129 1914 1405
1818 1074 1577 1402
1982 2114 1829 1210
1167 1149 1670 1909
1523 1083 1897 1324
636 568 512 1417
1722 1386 1232 1636
1397 2042 1707 2114
1524 2076 1581 1459
961 884 927 2030
1108 1466 1942 1815
1926 1095 1946 1172
2237 1524 1675 2108
684 803 934 1664
950 889 908 1190
692 871 870 1388
901 112 1417 1405
163 19 1222 1110
49 51 50 2137
187 186 1981 1816
2250 1818 1759 1312
149 1133 1239 1625
1336 1761 1268 1597
1847 1159 2049 1311
47 46 699 1497
813 178 1434 1497
783 1388 1629 1601
1339 1296 2192 1530
1325 1201 1882 1450
2094 1837 1349 1173
233 145 90 1898
1854 2001 1186 1614
62 887 63 201
1311 327 1728 1575
1654 1361 1242 1307
1132 1916 1875 1560
1086 2084 1909 2060
1300 1410 1809 1937
1918 1346 1171 1634
1849 2166 1147 1185
1346 1344 1880 1634
1144 916 2256 1634
1981 222 1983 1101
1918 2149 1218 1171
911 939 964 1639
2076 2067 1581 1459
134 27 1693 1816
27 1983 1693 1816
1570 1374 1208 1299
998 981 999 1749
1415 2070 1139 1249
880 29 27 28
1225 1724 1839 2247
803 684 934 709
951 834 707 754
168 939 28 64
186 187 27 1816
1149 1596 1280 1661
1986 1322 1506 1139
708 709 890 707
1886 1806 2198 1766
1727 2080 1581 1787
948 885 2226 1723
2182 1439 1157 1483
112 129 173 1405
476 478 477 1988
1303 1448 1599 2160
715 1161 1111 1715
1197 1784 2121 1880
850 847 683 1967
1324 1256 1362 1258
2031 768 1911 1203
1447 1270 1076 1478
1475 1322 1218 1506
1392 630 1564 1177
191 177 1714 1827
1554 1420 1836 2047
5 87 1213 1249
1210 1707 1743 1173
1295 1344 1086 1611
1607 218 1808 1110
1175 1310 2206 2006
168 134 1693 1639
1143 1609 2029 1145
329 299 330 1422
478 573 1075 1672
464 376 330 2134
245 379 578 1177
822 843 773 1605
1300 1415 1249 1449
772 773 1605 1175
842 843 1955 1444
1339 1282 1084 1614
1084 1690 1680 1614
283 2213 2201 1468
1277 1344 2070 1611
859 771 1664 1605
917 1706 1345 1337
1105 1389 1455 1114
1047 635 549 1739
1200 2007 2073 1127
1697 1677 1444 2000
1720 656 1640 1123
1742 1454 1355 1315
117 81 2224 1482
1102 1687 1970 2129
735 733 777 2143
1450 1412 1186 1760
873 884 872 1589
1089 1836 2047 1407
1140 2022 1206 1419
501 664 1538 1977
1984 1446 1956 2092
959 879 1664 1875
2181 1691 2029 1298
1706 2102 1723 1445
50 171 2137 1775
2179 1451 1600 1750
769 805 1842 2137
139 1204 1836 2047
212 21 1637 1936
959 1664 1113 1875
1221 1971 1669 1315
2094 1540 1743 1582
1930 623 1124 1761
1296 1797 1530 1907
801 763 858 1234
786 865 1864 1774
1518 1330 1935 1369
847 683 1385 1863
1398 1834 1355 1294
1410 1415 2099 1631
993 1042 997 1121
758 728 2007 1200
83 225 193 1170
135 109 1842 1165
1945 1944 1681 1089
1469 1376 2045 2221
2185 1213 1120 1209
1961 1995 1426 1493
2110 1758 1640 1228
946 2121 1167 2116
2172 1686 1504 1866
2017 1960 1457 1811
1280 1449 1849 1697
739 672 1619 2195
734 733 2143 2245
1088 1510 1489 1198
65 160 2185 1209
1333 2257 2149 1283
1509 1802 1172 1431
531 1176 1768 2233
525 1097 1364 1889
4 89 210 1931
168 939 64 1639
2137 50 1775 1827
951 834 754 753
708 890 1903 1400
62 887 64 63
754 753 108 900
1783 2250 1577 1843
2146 1074 1332 1577
109 111 900 949
1835 873 1589 1781
922 2084 2060 1616
800 165 26 1863
2148 1257 1826 2141
2046 1285 1609 1093
1473 1596 2084 1519
1235 1782 1378 1479
753 110 108 109
805 49 110 171
1367 1554 1317 1204
2189 1932 1238 1757
87 191 177 1714
1697 1605 1661 1175
51 176 50 1827
753 1969 1842 1165
111 108 109 900
234 93 1681 1762
1677 1895 1444 1873
108 753 109 900
165 800 26 77
1983 1693 1816 1295
5 89 4 1931
318 357 446 1500
890 708 1969 1400
51 700 50 2137
1842 1775 1165 2206
877 876 2037 1880
964 875 882 1393
949 111 63 201
109 111 949 201
770 769 1969 1310
1613 2013 2172 1356
700 769 1310 2137
1687 2172 1385 1866
1473 1086 2084 1909
821 1934 1725 1314
332 376 1275 2134
1310 2206 2006 1827
1280 2015 1895 1677
1201 1636 1882 1450
1714 1613 2013 2006
1175 770 1969 1310
1409 1240 2206 2006
1322 1548 1587 1139
1310 1175 2206 1400
2006 812 1504 1892
812 700 1827 1504
1473 1596 1611 1909
1409 1249 1473 1240
24 811 683 1967
919 922 1616 2066
1113 2084 1519 2066
109 753 1842 1165
841 772 1697 1892
133 3 1816 1409
133 1816 1593 1409
1816 1593 1505 1086
2070 1344 1295 1611
1710 1300 1139 1249
1412 1986 1506 1139
1659 2071 2245 1315
859 773 771 1605
1310 769 1842 2137
1221 2034 1220 2071
65 2185 2168 1209
109 171 135 1842
51 176 811 24
682 1637 1936 2093
329 299 1422 1996
208 224 1551 1931
292 889 435 1190
1310 2137 1775 1827
135 1842 1775 1165
1659 2057 2240 1554
2057 2097 1247 1554
1409 1714 2006 1827
2206 1409 2006 1827
109 110 171 1842
1714 87 1409 1213
1243 1573 1871 1078
1966 1983 1295 1086
813 178 22 1637
1221 2034 2071 1669
1658 1571 1460 1419
192 1608 1646 1220
1393 1344 2121 1611
1325 1079 1631 1157
1807 1370 1221 1975
1697 1613 2171 2000
1891 1099 1985 1767
215 161 1356 2002
2035 1285 1627 1163
1434 1215 2017 1394
1484 1192 1566 1922
25 683 26 1863
961 940 1645 1279
585 589 588 1832
2166 1300 1449 1410
1697 1175 2006 1892
176 811 24 1967
2000 1613 2172 1686
1175 1310 2006 1892
1031 975 2063 1879
2024 1481 1442 1542
165 153 1370 2138
677 843 821 1955
125 169 31 1488
1682 1939 2218 1245
813 814 699 1497
827 1098 2071 2245
96 97 1465 2147
173 38 611 1914
908 888 954 1617
733 2071 2143 2245
1608 2034 1221 1674
160 161 2185 1209
780 791 733 2071
1112 1412 1139 1716
1005 1004 1676 2111
1477 2162 1097 1288
1039 988 1632 1109
1687 717 1669 1970
1240 1697 1175 2006
1587 2070 1931 1139
2224 1881 2229 1465
799 794 1936 1602
101 198 1048 1739
1844 2121 1273 1623
382 2177 2096 1752
1497 190 1215 1542
72 781 142 11
2116 1167 1670 1909
485 654 1110 1915
779 827 679 1721
119 118 174 1881
140 76 9 779
1387 2078 1364 2091
2176 136 1762 2047
2172 1385 1866 2002
4 5 1931 1249
1356 2172 1504 1866
1370 1687 1385 1221
1807 1971 2057 1975
1847 2049 1904 1941
1398 1521 1420 1845
827 779 1220 1721
10 9 2204 1721
1473 1295 1086 1611
805 769 700 2137
921 959 920 1616
1946 1818 1802 1172
567 507 637 1427
1465 202 2074 1253
2134 1099 1309 1729
1608 1221 1220 2071
212 175 1490 1178
373 374 294 1586
1505 910 1964 2066
498 497 496 1874
1088 1202 1758 1228
1787 1654 1459 1111
123 1763 1077 1152
1323 273 1275 1429
213 165 153 1370
847 717 1385 1866
2080 1524 1581 1459
1613 2171 2000 2172
2006 812 1827 1504
1201 1166 1087 1506
178 179 1637 1497
408 343 1626 2003
968 969 1859 1615
1548 1415 2070 1139
2015 1280 1449 1677
847 683 1967 1385
1136 1230 1861 1993
1412 2036 1063 1716
828 781 679 2204
2082 1660 1126 1327
2109 1553 2124 1638
1599 1143 2035 1858
1793 1284 2087 1354
1682 869 1471 1231
1912 1585 1751 1354
1427 983 1924 2236
1729 1099 2008 1408
679 828 2204 1098
1291 1290 1068 1433
1514 1126 1643 1327
685 684 879 1664
141 152 75 1674
2202 1949 1227 1403
2210 2223 1823 2009
1831 1160 1790 1948
2254 1025 1308 1184
1401 1899 1628 1901
1099 1777 1872 1985
874 956 2235 1835
579 590 1270 2115
1693 911 1639 1505
1143 2035 1609 1145
1713 1278 1821 1885
584 634 1574 2152
547 667 528 2110
423 1225 1921 1071
431 385 252 1792
46 813 699 1497
1159 449 2049 1311
2034 75 2138 1674
1277 1346 1344 2121
1509 226 1802 1910
213 161 2002 2185
1309 1275 1610 1499
131 222 187 1981
1446 1065 1956 2092
1115 39 2018 1943
1593 1505 1964 2184
859 822 773 1605
176 24 25 1967
2143 1669 1246 1315
1645 940 1965 1279
1103 2203 1749 1900
696 1669 1970 1246
2109 545 1553 1638
88 206 226 1802
966 1505 1086 2060
1593 62 1165 2184
1753 1271 1141 1224
677 821 1725 1314
2256 1552 1171 1634
2153 483 1888 1252
2134 1275 1148 1309
331 460 326 2081
417 418 2150 1649
2012 1698 1238 1980
192 194 231 1521
52 218 1607 2154
1834 2069 2064 1187
1409 1249 1240 2013
1881 1899 1926 1321
1393 882 1086 2060
780 827 1220 2071
388 386 1108 1122
1687 792 1221 1669
538 643 646 1194
487 650 1539 2234
214 1802 1910 1431
1339 1296 1530 1084
192 140 10 1721
536 1440 1653 1594
381 2096 1933 2163
734 862 2245 1294
1996 385 2062 1606
736 674 1306 1771
812 719 1686 1504
118 119 117 1881
259 603 314 400
977 971 1059 1491
479 633 1797 1133
2223 1337 1633 1070
1599 2156 1694 1096
1603 1216 1747 1092
175 216 86 1963
255 256 411 1782
1546 1713 1278 1821
655 523 648 1477
105 200 1442 1704
550 350 899 1923
1553 1663 1492 1340
1682 1957 1200 2232
1064 1010 1949 1227
255 486 256 1782
153 65 2185 2168
89 159 1112 1710
845 1968 1081 2033
604 491 1030 510
1543 1806 2097 1089
1356 176 1967 1504
1412 158 1772 1760
1706 902 1642 1850
1481 125 1488 1106
1454 1971 2057 1315
842 843 740 1955
1255 1109 1615 2180
401 361 1463 1877
164 74 23 799
1231 759 1770 2093
1475 1137 1375 1411
1102 1970 2044 1654
1953 1563 1394 1927
2216 1712 1371 1869
1676 2024 1214 1106
1216 1263 1241 1897
1743 2114 1582 1731
154 82 1703 1490
2198 1303 1753 2160
1355 1742 1315 1294
1379 1559 1729 2237
1035 1056 2050 1597
1585 1837 2010 1354
705 763 801 1883
520 582 583 2192
1219 1834 2183 1187
839 765 1927 2249
854 789 2014 1840
1290 1414 2209 1365
1722 2021 1636 1882
781 72 142 1831
1899 1881 1490 2229
910 909 1964 2066
1180 1216 1241 1897
904 2173 1474 1850
2183 1127 1576 1382
1526 1305 1501 2016
1490 2052 2005 1936
651 663 640 1523
2216 840 1205 1619
1929 1527 1683 1372
1581 1130 2108 2144
